Year,Month,Category,Material Type,Weight (lbs)
2023,Feb,Landfill,L-Landfill,"13,900"
2023,Feb,Landfill,L-Landfill,"13,560"
2023,Feb,Recycle,R-Mixed recycling,"8,780"
2023,Feb,Recycle,R-Mixed recycling,"6,880"
2023,Feb,Recycle,R-Mixed recycling,"8,740"
2023,Feb,Recycle,R-Mixed recycling,"7,600"
2023,Feb,Recycle,R-Mixed recycling,"6,320"
2023,Feb,Recycle,R-Mixed recycling,"7,460"
2023,Feb,Recycle,R-Mixed recycling,"5,700"
2023,Feb,Recycle,R-Mixed recycling,"8,120"
2023,Mar,Compost,C-Foodscraps,"72,000"
2023,Mar,Compost,C-Organics,"48,600"
2023,Mar,Recycle,R-Mixed recycling,262
2023,Mar,Landfill,L-Landfill,"1,656"
2023,Mar,Compost,C-Yardwaste,"12,860"
2023,Mar,Compost,C-Yardwaste,"10,060"
2023,Mar,Compost,C-Yardwaste,"10,900"
2023,Mar,Compost,C-Yardwaste,"14,960"
2023,Mar,Landfill,L-Landfill,"18,640"
2023,Mar,Landfill,L-Landfill,"18,740"
2023,Mar,Landfill,L-Landfill,"13,960"
2023,Mar,Landfill,L-Landfill,"15,520"
2023,Mar,Landfill,L-Landfill,"13,940"
2023,Mar,Landfill,L-Landfill,"14,280"
2023,Mar,Landfill,L-Landfill,"15,600"
2023,Mar,Landfill,L-Landfill,"13,560"
2023,Mar,Landfill,L-Landfill,"8,940"
2023,Mar,Recycle,R-Mixed recycling,"6,760"
2023,Mar,Recycle,R-Mixed recycling,"6,400"
2023,Mar,Recycle,R-Mixed recycling,"7,300"
2023,Mar,Recycle,R-Mixed recycling,"7,000"
2023,Mar,Recycle,R-Mixed recycling,"9,460"
2023,Mar,Recycle,R-Mixed recycling,"7,420"
2023,Mar,Recycle,R-Mixed recycling,"8,820"
2023,Mar,Recycle,R-Mixed recycling,"5,660"
2023,Mar,Recycle,R-Mixed recycling,"4,840"
2023,Apr,Recycle,R-Mixed recycling,524
2023,Apr,Landfill,L-Landfill,"1,656"
2023,Apr,Compost,C-Yardwaste,"11,360"
2023,Apr,Compost,C-Yardwaste,"10,060"
2023,Apr,Compost,C-Yardwaste,"11,380"
2023,Apr,Compost,C-Yardwaste,"9,980"
2023,Apr,Landfill,L-Landfill,"29,800"
2023,Apr,Landfill,L-Landfill,"15,080"
2023,Apr,Landfill,L-Landfill,"10,500"
2023,Apr,Landfill,L-Landfill,"14,740"
2023,Apr,Landfill,L-Landfill,"14,800"
2023,Apr,Landfill,L-Landfill,"16,380"
2023,Apr,Landfill,L-Landfill,"13,920"
2023,Apr,Landfill,L-Landfill,"15,500"
2023,Apr,Recycle,R-Mixed recycling,"4,320"
2023,Apr,Recycle,R-Mixed recycling,"8,740"
2023,Apr,Recycle,R-Mixed recycling,"9,820"
2023,Apr,Recycle,R-Mixed recycling,"9,740"
2023,Apr,Recycle,R-Mixed recycling,"8,040"
2023,Apr,Recycle,R-Mixed recycling,"8,740"
2023,Apr,Recycle,R-Mixed recycling,"7,760"
2023,Apr,Recycle,R-Mixed recycling,"9,280"
2023,May,Compost,C-Organics,"40,500"
2023,May,Recycle,R-Mixed recycling,262
2023,May,Landfill,L-Landfill,552
2023,May,Compost,C-Yardwaste,"12,800"
2023,May,Compost,C-Yardwaste,"9,540"
2023,May,Compost,C-Yardwaste,"5,720"
2023,May,Compost,C-Yardwaste,"9,340"
2023,May,Landfill,L-Landfill,"12,880"
2023,May,Landfill,L-Landfill,"17,280"
2023,May,Landfill,L-Landfill,"12,620"
2023,May,Landfill,L-Landfill,"15,540"
2023,May,Landfill,L-Landfill,"13,340"
2023,May,Landfill,L-Landfill,"17,720"
2023,May,Landfill,L-Landfill,"13,380"
2023,May,Landfill,L-Landfill,"15,620"
2023,May,Landfill,L-Landfill,"15,960"
2023,May,Landfill,L-Landfill,"15,140"
2023,May,Recycle,R-Mixed recycling,"6,900"
2023,May,Recycle,R-Mixed recycling,"8,600"
2023,May,Recycle,R-Mixed recycling,"6,940"
2023,May,Recycle,R-Mixed recycling,"9,040"
2023,May,Recycle,R-Mixed recycling,"6,520"
2023,May,Recycle,R-Mixed recycling,"7,500"
2023,May,Recycle,R-Mixed recycling,"6,560"
2023,May,Recycle,R-Mixed recycling,"7,940"
2023,May,Recycle,R-Mixed recycling,"7,540"
2023,Jun,Compost,C-Yardwaste,"10,120"
2023,Jun,Compost,C-Yardwaste,"8,680"
2023,Jun,Compost,C-Yardwaste,"6,940"
2023,Jun,Compost,C-Yardwaste,"7,260"
2023,Jun,Compost,C-Foodscraps,"72,000"
2023,Jun,Compost,C-Organics,"48,600"
